budget_label,budget_gib,gpu_memory_utilization,application,logical_kv_gib,actual_gpu_kv_pool_gib,successful_requests,duration_s,output_throughput_tokens_s,mean_ttft_ms,mean_tpot_ms,preemptions,peak_waiting_requests,peak_gpu_kv_usage_pct,peak_cpu_kv_usage_pct,kv_gpu_to_cpu_gib,kv_cpu_to_gpu_gib,kv_store_operations,kv_load_operations,kv_load_operations_per_s,observed_load_bursts_1s,seconds_per_observed_load_burst,pcie_gpu_tx_gib,pcie_gpu_rx_gib,peak_pcie_bidirectional_gib_s,peak_server_rss_gib,peak_gpu_fb_gib,average_gpu_sm_pct,gpu_energy_j
+5 GiB (75.125%),5,0.75125,chat,29.99420166015625,5.08,22,169.82387900352478,217.5597952258305,564.9423294549209,61.448971989813444,228.0,19.0,100.0,4.548229548229548,28.45458984375,27.7587890625,2039.0,57.0,0.3356418445654332,16,10.613992437720299,62.306944366311654,60.287362741539255,28.0576171875,42.90825271606445,29.9794921875,90.2439024390244,47051.38346803188
+5 GiB (75.125%),5,0.75125,code,29.99420166015625,5.45,22,158.9268183708191,234.2400707482189,543.3144949995701,59.090539500355305,285.0,19.0,100.0,9.615384615384617,29.8095703125,36.99951171875,2136.0,71.0,0.4467465008601498,22,7.223946289582686,27.812642345787026,43.72011043562088,28.7509765625,42.87896728515625,30.3701171875,89.4090909090909,43827.9446849823
+10 GiB (87.625%),10,0.87625,chat,29.99420166015625,10.39,22,112.10134840011597,348.122652333013,537.7365204092878,41.757969919899544,291.0,22.0,100.0,7.875457875457875,28.45458984375,23.388671875,2039.0,35.0,0.31221747552114004,8,14.012668550014496,37.32645736611448,16.979110931628384,10.78515625,42.82272720336914,35.2919921875,83.6,30749.83335518837
+10 GiB (87.625%),10,0.87625,code,29.99420166015625,10.39,22,104.1045470237732,377.56798088126845,533.4643569544411,42.26731447317142,196.0,15.0,100.0,3.907203907203907,29.8095703125,27.86865234375,2136.0,39.0,0.3746234061332019,10,10.410454702377319,32.6772938312497,70.94254133838695,29.56640625,42.823455810546875,35.2919921875,83.87254901960785,28412.646998286247
