timestamp_utc,run_id,elapsed_s,num_requests_running,num_requests_waiting,num_preemptions_total,prompt_tokens_total,generation_tokens_total,request_success_total,time_to_first_token_seconds_count,time_to_first_token_seconds_sum,inter_token_latency_seconds_count,inter_token_latency_seconds_sum,e2e_request_latency_seconds_count,e2e_request_latency_seconds_sum,request_queue_time_seconds_count,request_queue_time_seconds_sum
2026-07-15T11:00:31.991391+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,0.007489204406738281,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:32.998369+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,1.0144658088684082,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:34.005608+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,2.0217056274414062,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:35.012585+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,3.0286834239959717,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:36.019751+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,4.03584885597229,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:37.026843+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,5.042941093444824,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:38.034232+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,6.0503270626068115,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:39.041494+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,7.05759072303772,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:40.048949+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,8.065063953399658,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:41.056271+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,9.072368383407593,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:42.063617+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,10.079716205596924,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:43.071381+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,11.087478637695312,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:44.078722+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,12.094820976257324,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:45.086385+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,13.102482557296753,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:46.094151+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,14.11025071144104,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:47.102116+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,15.118210554122925,0.0,0.0,0.0,36.0,884.0,2.0,2.0,0.12138628959655762,882.0,11.112070622999454,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:48.110371+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,16.126466989517212,2.0,0.0,0.0,543.0,939.0,2.0,4.0,0.21088743209838867,935.0,11.796212801004003,2.0,11.233118057250977,2.0,4.606099901138805e-05
2026-07-15T11:00:49.119077+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,17.135183095932007,0.0,0.0,0.0,543.0,948.0,4.0,4.0,0.21088743209838867,944.0,11.909297409001738,4.0,12.119231700897217,4.0,7.659300172235817e-05
2026-07-15T11:00:50.127388+00:00,qwen7b_gpu_a100_smoke_code_instructcoder,18.143484115600586,0.0,0.0,0.0,543.0,948.0,4.0,4.0,0.21088743209838867,944.0,11.909297409001738,4.0,12.119231700897217,4.0,7.659300172235817e-05
