timestamp_utc,run_id,elapsed_s,num_preemptions_total,prompt_tokens_total,generation_tokens_total,num_requests_running,num_requests_waiting,gpu_kv_cache_usage_fraction,time_to_first_token_seconds_sum,time_to_first_token_seconds_count,inter_token_latency_seconds_sum,inter_token_latency_seconds_count,e2e_request_latency_seconds_sum,e2e_request_latency_seconds_count,request_queue_time_seconds_sum,request_queue_time_seconds_count,request_success_total
2026-07-15T07:11:55.343335+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,0.006944417953491211,,,,,,,,,,,,,,,
2026-07-15T07:11:56.346037+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,1.0096461772918701,,,,,,,,,,,,,,,
2026-07-15T07:11:57.348280+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,2.011887788772583,,,,,,,,,,,,,,,
2026-07-15T07:11:58.350618+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,3.0142292976379395,,,,,,,,,,,,,,,
2026-07-15T07:11:59.353026+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,4.016634702682495,,,,,,,,,,,,,,,
2026-07-15T07:12:00.355490+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,5.0190980434417725,,,,,,,,,,,,,,,
2026-07-15T07:12:01.357783+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,6.021388292312622,,,,,,,,,,,,,,,
2026-07-15T07:12:02.360281+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,7.0238893032073975,,,,,,,,,,,,,,,
2026-07-15T07:12:03.362573+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,8.026179790496826,,,,,,,,,,,,,,,
2026-07-15T07:12:04.365695+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,9.029301166534424,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2026-07-15T07:12:05.368900+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,10.032509326934814,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2026-07-15T07:12:06.372035+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,11.035640954971313,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2026-07-15T07:12:07.374859+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,12.038464784622192,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2026-07-15T07:12:08.377877+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,13.04148268699646,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2026-07-15T07:12:09.383317+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,14.046921491622925,0.0,12.0,25.0,1.0,0.0,0.00015213753232923288,0.0574796199798584,1.0,0.32903599739074707,23.0,,,,,
2026-07-15T07:12:10.388121+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,15.051733016967773,0.0,12.0,98.0,1.0,0.0,0.0003549875754348397,0.0574796199798584,1.0,1.344224214553833,97.0,,,,,
2026-07-15T07:12:11.399187+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,16.062795400619507,0.0,48.0,223.0,2.0,0.0,0.00045641259698769865,0.10009574890136719,3.0,2.976865768432617,218.0,1.6920397281646729,1.0,0.0006639957427978516,1.0,1.0
2026-07-15T07:12:12.408027+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,17.07163429260254,0.0,48.0,366.0,1.0,0.0,0.0005071251077640726,0.10009574890136719,3.0,4.890649795532227,362.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:13.415983+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,18.079589128494263,0.0,48.0,440.0,1.0,0.0,0.0007606876616461644,0.10009574890136719,3.0,5.903554439544678,437.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:14.424879+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,19.08848786354065,0.0,48.0,515.0,1.0,0.0,0.0009635377047517713,0.10009574890136719,3.0,6.916799068450928,512.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:15.433214+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,20.096818685531616,0.0,48.0,589.0,1.0,0.0,0.001217100258633752,0.10009574890136719,3.0,7.919456720352173,586.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:16.441529+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,21.105135202407837,0.0,48.0,664.0,1.0,0.0,0.0014706628125158439,0.10009574890136719,3.0,8.937201976776123,661.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:17.449742+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,22.113343954086304,0.0,48.0,738.0,1.0,0.0,0.0016735128556214507,0.10009574890136719,3.0,9.940428972244263,735.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:18.459769+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,23.123378038406372,0.0,48.0,812.0,1.0,0.0,0.0019270754095035425,0.10009574890136719,3.0,10.95309329032898,809.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:19.470742+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,24.13434934616089,0.0,48.0,886.0,1.0,0.0,0.0021299254526091493,0.10009574890136719,3.0,11.953097820281982,882.0,3.287804126739502,2.0,0.0009860992431640625,2.0,2.0
2026-07-15T07:12:20.480201+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,25.14380979537964,0.0,48.0,945.0,0.0,0.0,0.0,0.10009574890136719,3.0,12.764289140701294,942.0,12.865087270736694,3.0,0.0016088485717773438,3.0,3.0
2026-07-15T07:12:21.488017+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,26.151625633239746,0.0,48.0,945.0,0.0,0.0,0.0,0.10009574890136719,3.0,12.764289140701294,942.0,12.865087270736694,3.0,0.0016088485717773438,3.0,3.0
2026-07-15T07:12:22.496415+00:00,qwen7b_gpu_a100_smoke_chatbot_sharegpt,27.16002368927002,0.0,48.0,945.0,0.0,0.0,0.0,0.10009574890136719,3.0,12.764289140701294,942.0,12.865087270736694,3.0,0.0016088485717773438,3.0,3.0
