timestamp_utc,run_id,target,elapsed_s,server_process_count,server_rss_bytes,server_vms_bytes,server_cpu_time_s,server_cpu_percent,server_read_bytes,server_write_bytes,system_cpu_total_percent,system_cpu_max_core_percent,system_cpu_freq_mhz,system_load_1m,system_context_switches,system_mem_used_bytes,system_mem_available_bytes,system_swap_used_bytes,system_disk_read_bytes,system_disk_write_bytes,system_net_recv_bytes,system_net_sent_bytes,cpu_temp_max_c,powercap_energy_uj,powercap_package_power_w
2026-07-15T08:11:04.937391+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,2.1457672119140625e-06,3,123674435584,193671389184,2662.6499999999996,0.0,0,15880192,0.31666666666666665,7.5,2449.9980000000005,0.77490234375,10337050,129012076544,103193214976,0,483223040,59567769600,22774055829,603809394,,,
2026-07-15T08:11:05.950580+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,1.014857530593872,3,123674435584,193671389184,2662.66,0.9853620673182223,0,15880192,0.36000000000000004,2.9,2449.9980000000005,0.77490234375,10339222,129016242176,103189049344,0,483223040,59567769600,22774087063,603840430,,,
2026-07-15T08:11:06.963699+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,2.0280447006225586,3,123674435584,193671389184,2662.68,1.973968936007702,0,15880192,3.533333333333333,100.0,2449.9980000000005,0.77490234375,10341685,129268883456,102936408064,0,483223040,59567769600,22774116966,603870473,,,
2026-07-15T08:11:07.976876+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,3.041177988052368,3,123674435584,193671389184,2662.69,0.9870369599233096,0,15880192,3.533333333333333,100.0,2449.9980000000005,0.79296875,10344243,129331138560,102874152960,0,483223040,59567769600,22774146581,603900130,,,
2026-07-15T08:11:08.989886+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,4.054330110549927,3,123674435584,193671389184,2662.71,1.9740372206573553,0,15884288,3.433333333333333,100.0,2449.9980000000005,0.79296875,10346615,129367556096,102837735424,0,483223040,59570407424,22774176576,603930041,,,
2026-07-15T08:11:10.002839+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,5.067344427108765,3,123674435584,193671389184,2662.7299999999996,1.9743057598105942,0,15884288,3.4,100.0,2449.9980000000005,0.79296875,10348939,129403187200,102802104320,0,483223040,59570407424,22774206560,603960165,,,
2026-07-15T08:11:11.015734+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,6.080303192138672,3,123674435584,193671389184,2662.7299999999996,0.0,0,15884288,3.4,98.0,2449.9980000000005,0.79296875,10351393,129449902080,102755389440,0,483223040,59570407424,22774236886,603990575,,,
2026-07-15T08:11:12.028581+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,7.093188047409058,3,123674435584,193671389184,2662.75,1.9745581046423717,0,15884288,3.3666666666666667,100.0,2449.9980000000005,0.79296875,10353722,129481641984,102723649536,0,483223040,59570407424,22774266707,604020528,,,
2026-07-15T08:11:13.041244+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,8.106048345565796,3,123674435584,193671389184,2662.77,1.9746059783742107,0,15884288,3.533333333333333,100.0,2449.9980000000005,0.8095703125,10355973,129528090624,102677200896,0,483223040,59570407424,22774296317,604050180,,,
2026-07-15T08:11:14.053976+00:00,qwen7b_gpu_a100_offload_code_instructcoder,gpu_a100,9.118699789047241,3,123674435584,193671389184,2662.77,0.0,0,15884288,3.466666666666667,100.0,2449.9980000000005,0.8095703125,10358348,129594474496,102610817024,0,483223040,59570407424,22774326311,604080090,,,
